current_date,job_title,employer,workplace,responsibilities,requirements,optional_req,expiration_date
2023-08-25,Data Scientist,HEINEKEN Global Shared Services,"aleja Jana Pawła II 43a, Czyżyny, Kraków","
- developing predictive models and algorithms to solve complex business problems, such as forecasting timeseries, optimizing warehouses, predicting customer churn, running A/B tests, and optimizing transport and delivery routes
- collaborating with a diverse global team of Data Scientists, Data Engineers, Business Intelligence Specialists, and Analytics Product Managers to develop and implement data-driven solutions
- mentoring and coaching early-career data scientists, fostering an environment of continuous learning and growth
- applying software engineering best practices, such as code versioning, structuring, and unit testing, to ensure the reliability and robustness of data science solutions
- communicating effectively with various stakeholders, including fellow data scientists and sales managers, tailoring your message to your audience's level of technical understanding","
- 2 - 4 years of experience as a Data Scientist in the business setting
- experience building and designing complex data science solutions
- MSc/MA/PhD in a technical discipline related to Data Science (Data Science, Physics, Computer Science, Econometrics, Bioinformatics, etc.)
- effective communication skills so that you can tailor your message to the audience, be it a fellow Data Scientist or a Sales Manager
- value-driven and pragmatic mind-set, focus on getting a result in an Agile manner
- coaching and mentoring other data scientists in the earlier stages of their careers
- knowledge of Machine Learning, Statistics, optimization algorithms and related fields
- fluent Python programming skills and thorough knowledge of pandas & scikit-learn
- experience with applying software engineering best practices, like code version systems, code structure and unit tests
- familiarity with Azure stack (Azure Data Factory, Azure Machine Learning, Databricks) is a plus",,24 Sep 2023
2023-08-25,Machine Learning Engineer,HEINEKEN Global Shared Services,"aleja Jana Pawła II 43a, Czyżyny, Kraków","
- developing production-level ML libraries and algorithms for existing and future products
- writing code to enhance machine learning capabilities
- reviewing code developed by other team members, providing feedback and insights
- Infrastructure Development and Management:
- developing and improving the infrastructure used for building and deploying machine learning models
- improving pipelines for data ingestion and feature engineering
- designing and implementing processes for end-to-end management of machine learning pipelines
- having hands-on experience with building data processing pipelines, large-scale machine learning systems, and big data technologies (e.g., Hadoop, Spark).
- developing and implementing scalable and efficient model training workflows on a large scale
- fluency in Python programming and working knowledge of Databricks and PySpark
- fluency in extracting information from databases and good SQL skills
- demonstrating very good coding skills and software development experience
- understanding fundamental data science concepts and have experience with common tooling and packages used for machine learning
- possessing knowledge of application architectures and design patterns
- applying professional software engineering and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
- writing clean, efficient, documented, and scalable code","
- at least 2 years of experience applying Machine Learning in the industry
- experience in writing production code for machine learning models
- experience related to using ML infrastructure at scale
- very good coding skills and software development experience
- fluency in Python programming.
- working knowledge of Databricks and PySpark
- end-to-end hands-on experience with building data processing pipelines, large-scale machine learning systems, and big data technologies (e.g., Hadoop, Spark)
- fluency in extracting information from databases and good SQL skills
- understanding of fundamental data science concepts and experience with common tooling and packages used for machine learning
- knowledge of application architectures and design patterns
- knowledge of professional software engineering and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
- ability to write clean, efficient, documented, and scalable code",,24 Sep 2023
2023-08-25,BI Developer / Power BI Developer,Novaris Sp. z o.o.,Cała Polska (praca zdalna),"
- Dostarczanie rozwiązań MS Power Platform oraz Business Intelligence jak i administracja platformy Power BI","
- Doświadczenie zawodowe w obu językach programowania: SQL (preferowany T-SQL) i DAX
- Doświadczenie zawodowe w co najmniej jednym z języków programowania: R, VBA, Python
- Doświadczenie w dostarczaniu rozwiązań MS Power Platform oraz Business Intelligence jak i administracja platformy Power BI
- Doświadczenie z hurtowniami danych, ETL (SSIS)
- Doświadczenie w modelowaniu i przetwarzaniu danych
- Certyfikowane lub udokumentowane doświadczenie ITIL Foundation w zarządzaniu usługami IT
- Udokumentowane doświadczenie zawodowe minimum 2 lata na podobnym stanowisku
- Doskonałe umiejętności interpersonalne i komunikacyjne
- Dobra znajomość języka angielskiego w mowie i piśmie","
- Posiadasz wyższe wykształcenie techniczne
- Zdałeś jeden z certyfikatów: Microsoft Certified - Data Analyst Associate, MCSA - BI Reporting
- Doskonała znajomość języka angielskiego w mowie i piśmie",24 wrz 2023
2023-08-25,Power BI/QlikSense/Tableau Developer,Capgemini Polska,Kraków,"
- Collecting requirements and propose technical solutions in cooperation with the client;
- Visualizing data using advanced reports and dashboards;
- Design of physical and logical data models based on the star or snowflake schema;
- Test automation and code deployment using DevOps & CI/CD best practices.","
- At least 3 years of experience in Microsoft Power BI, QlikSense or Tableau;
- Knowledge of SQL language and least one relational database system;
- Experience in one or more of the listed tools and technologies: JavaScript, Angular, Grafana, IBM Cognos, SAP Business Objects, QlikSense, QlikView, Tableau, OBIEE;
- Practical knowledge of software engineering best practices;
- Good command of English or German;",,24 Sep 2023
2023-08-25,ETL Developer (Informatica),Capgemini Polska,Kraków,"
- Implementation and optimization of data warehousing and ETL processes,
- act as a technical expert in the designing, coding, testing, supporting, and debugging of new software or significant enhancements to existing software,
- troubleshoot and debug ETL jobs,
- assess query performance and actively contribute to optimizing the code,
- write technical documentation and specifications,
- work with DBAs and Data Architects to plan and implement the best ETL strategies,
- write complex SQL queries (involving Stored Procs, Cursors, functions, packages, etc).","
- At least 3-5 years of total experience with Informatica PowerCenter,
- experience with MS SQL Server or Oracle,
- experience of working in Devops with Agile/Scrum in teams,
- experience with Linux,
- extensive knowledge of CI/CD and CI/CD tools,
- knowledge of Azure technologies would be an advanteage (AZ900, or better certification preferred),
- very good command of English.",,24 Sep 2023
2023-08-25,Cloud Data Engineer,Capgemini Polska,Kraków,"
- design and development of data processing solutions,
- implementation of Data Lake and Data Mesh architecture in public cloud platforms,
- implementation, optimization and testing of modern cloud solutions and in the Continuous Delivery / Continuous Integration environment,
- working in Cloud environments using InfrastructureAsCode.","
- at least 3 years of commercial experience in AWS, Azure or GCP,
- knowledge of one of following languages: Scala/Java/Python/C#,
- knowledge of at least one relational database system and SQL language,
- familiarity with one or more of the listed (or similar) technologies: Jenkins, Terraform, Cloud Formation, Docker, Kubernetes,
- very good command of English (willingness to learn German would be an advantage).",,24 Sep 2023
2023-08-25,Młodszy Programista SQL,Walstead Central Europe,"Obrońców Modlina 11, Podgórze, Kraków","
- wsparcie, tworzenie oraz udoskonalanie istniejących rozwiązań bazodanowych, a także implementację nowych rozwiązań,
- wspólnie z Architektem opracowanie nowych rozwiązań związanych z bazami danych,
- wsparcie zespołu programistów w zakresie tworzenia, testowania oraz implementacji rozwiązań bazodanowych,
- bieżące rozwiązywanie pojawiających się problemów technicznych,
- realizacja zleceń HD,
- bieżące utrzymanie aplikacji,
- uczestniczenie w procesie HD na drugim poziomie (analiza obiektów bazodanowych oraz zapytań SQL),
- wsparcie procesu testów jakościowych nowych funkcjonalnoś","
- studia kierunkowe, licencjat w zakresie informatyki / elektroniki lub podobne,
- znajomość języka SQL w szczególności T-SQL,
- znajomość zagadnień baz danych MS SQL Server,
- umiejętność tworzenia oraz optymalizacji zapytań SQL,
- zdolność szybkiego diagnozowania przyczyn awarii i usterek,
- podstawowa znajomość technik programowania.","
- doświadczenie w branży IT na stanowisku związanym z programowaniem baz danych,
- certyfikaty w zakresie umiejętności programowania baz danych w szczególności związane z MS SQL Server,
- znajomość języka angielskiego na poziomie komunikatywnym w mowie i piśmie.",24 wrz 2023
2023-08-25,Snowflake Developer,ITFS sp. z o.o.,Cała Polska (praca zdalna),"
- Budowanie infrastruktury danych w środowisku chmurowym
- Orkiestracja danych
- Budowanie Data Pipeline’ów
- Budowanie Data Lakehouse, Data Lake’ów
- Programowanie w Pythonie
- Tworzenie strumieni danych","
- Preferowane min. 4 lata doświadczenia
- Min. 2-letnie doświadczenie ze Snowflake i Data Warehouse
- Doświadczenie w inżynierii danych
- Min. 2-letnie doświadczenie z SQL (w tym advanced/analytic SQL)
- Min. 1-roczne doświadczenie z przynajmniej jedną chmurą - AWS, Azure i/lub GCP
- Umiejętność programowania w Pythonie
- Doświadczenie w projektowaniu i rozwijaniu kompleksowych data pipelinów do ekstrakcji danych przy użyciu Python i SQL
- Doświadczenie w projektowaniu schematu hurtowni danych, znajomość Kimball lub Inmon do projektowania DWH
- Język angielski na poziomie min. B2/C1","
- Workflow Management i orkiestracja: Airflow, AWS Managed Airflow, NiFi
- Wiele źródeł danych (np. kolejki, relacyjne bazy danych, pliki, API)
- Integracja danych: Spark, Snowpark, AWS Data Migration Services, Azure DataFactory, Google DataFlow
- Przetwarzanie strumieniowe: Kafka, event/streaming, Streamsets, NiFi
- Narzędzia do transformacji danych (np. dbt)
- Integracja danych w chmurze (np. Fivetran)
- ETL Low Code/No Code (np. Matillion)
- Doświadczenie w Oracle Database (szczególnie hurtowni danych z Oracle)
- Migracja danych ze starszych wersji (Oracle, DB2, SQL Server, Netezza itp.) do Snowflake Cloud Data
- Doświadczenie w programowaniu PL/SQL",22 wrz 2023
2023-08-25,Python Developer,ITFS sp. z o.o.,Cała Polska (praca zdalna),"
- Tworzenie nowych funkcjonalności i integracji
- Programowanie/pisanie skryptów w Python
- Tworzenie dokumentacji technicznej dla wprowadzonych projektów
- Tworzenie obiektów w bazie (tabel, widoków, itp.)
- Administracja zasobami danych
- Pomoc w tworzeniu architektury baz danych
- Współpraca z zespołem
- Konfiguracja procesów przy użyciu narzędzi do tzw. „schedulingu”","
- Doświadczenie jako Python Developer (min. 1 rok)
- Dobra znajomość SQL i Oracle DBs
- Doświadczenie w analizie danych
- Znajomość infrastruktury IT oraz Redhat Linux
- Znajomość Microsoft Excel
- Chęć rozwoju w kierunku Analityka technicznego",,22 wrz 2023
2023-08-25,Data Engineer,Itransition sp. z o.o.,Poland (remote work),,"
- 5+ years of Data Engineer experience
- Knowledge and experience working with data warehouse and data lake
- Experience in ETL/ELT processes design, development, and maintenance
- Experience with Azure solutions and services is a must
- Experience in identifying and resolving data quality issues, data transformation errors, and performance bottlenecks in data pipelines
- Experience managing technical and functional metadata, data catalog and lineage
- Strong knowledge of Python (including experience with big data processing using Pandas)
- Experience with Snowpark API
- Strong knowledge of SQL. Experience with at least one RDBMS (MySQL, PostgreSQL, SQL Server, Oracle, DB2)
- Experience with at least one VCS (Git, SVN, etc.)
- Upper-Intermediate or above level of English
- Interacting with the team for at least 4 working hours according to the Central Standard Time (UTC/GMT -5 hours) is necessary","
- Experience working in an Agile/Scrum development process
- Experience with Scala
- Experience with BI visualization tools (e.g., Power BI, Tableau, or Qlik)
- Microsoft Azure Certification",07 Sep 2023
